City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
89,Padang,ID,2022-10-25 23:11:12,-0.9492,100.3543,75.87,91,100,3.6,moderate rain
90,Flinders,AU,2022-10-25 23:12:24,-34.5833,150.8552,73.06,78,59,1.99,broken clouds
91,Miles City,US,2022-10-25 23:12:25,46.4083,-105.8406,49.17,46,75,10.36,broken clouds
92,Lebu,CL,2022-10-25 23:12:26,-37.6167,-73.65,55.31,91,85,10.13,overcast clouds
93,Elat,IL,2022-10-25 23:10:37,29.5581,34.9482,78.64,47,0,3.44,clear sky
94,Sterling,US,2022-10-25 23:12:27,39.0062,-77.4286,62.42,86,75,6.91,broken clouds
95,San Patricio,US,2022-10-25 23:12:27,28.017,-97.5169,77.09,23,0,6.64,clear sky
96,Jamestown,US,2022-10-25 23:12:28,42.097,-79.2353,62.06,59,100,6.91,overcast clouds
97,Qasigiannguit,GL,2022-10-25 23:12:28,68.8193,-51.1922,26.85,96,100,9.84,light snow
98,Longyearbyen,SJ,2022-10-25 23:12:29,78.2186,15.6401,12.04,73,20,11.5,few clouds
99,Tucuman,AR,2022-10-25 23:10:13,-26.8241,-65.2226,89.6,35,20,8.05,few clouds
100,Port Pirie,AU,2022-10-25 23:12:30,-33.1833,138.0167,60.55,81,96,2.82,overcast clouds
101,Kiruna,SE,2022-10-25 23:12:31,67.8557,20.2251,23.67,92,97,2.33,overcast clouds
102,Calbuco,CL,2022-10-25 23:12:31,-41.768,-73.1273,61.81,90,100,5.57,light rain
103,Bambous Virieux,MU,2022-10-25 23:12:33,-20.3428,57.7575,72.21,79,9,12.88,light rain
104,Kropotkin,RU,2022-10-25 23:12:34,45.4375,40.5756,50.22,77,69,6.46,broken clouds
105,Hofn,IS,2022-10-25 23:12:34,64.2539,-15.2082,42.31,83,100,17.76,overcast clouds
106,Broome,US,2022-10-25 23:12:35,42.2506,-75.833,67.32,82,20,5.75,few clouds
107,Tucurui,BR,2022-10-25 23:12:35,-3.7661,-49.6725,81.54,72,100,2.77,overcast clouds
108,Qorveh,IR,2022-10-25 23:12:36,35.1664,47.8045,48.09,55,8,1.88,clear sky
109,Rawson,AR,2022-10-25 23:10:50,-43.3002,-65.1023,58.15,55,100,15.32,overcast clouds
110,Torbay,CA,2022-10-25 23:12:37,47.6666,-52.7314,54.5,86,0,1.99,clear sky
111,Los Llanos De Aridane,ES,2022-10-25 23:12:38,28.6585,-17.9182,65.95,77,75,8.01,broken clouds
112,Tura,IN,2022-10-25 23:12:39,25.5198,90.2201,64.02,97,42,2.89,scattered clouds
113,Punto Fijo,VE,2022-10-25 23:12:39,11.6956,-70.1996,83.25,73,98,11.36,overcast clouds
114,Port Elizabeth,ZA,2022-10-25 23:12:40,-33.918,25.5701,61.11,83,97,7.63,light rain
115,Lucea,JM,2022-10-25 23:12:41,18.451,-78.1736,82.85,74,7,8.75,clear sky
116,Bestobe,KZ,2022-10-25 23:12:42,52.4994,73.0975,36.25,33,100,7.78,overcast clouds
117,Dikson,RU,2022-10-25 23:12:43,73.5069,80.5464,22.89,85,98,1.32,overcast clouds
118,Lorengau,PG,2022-10-25 23:12:43,-2.0226,147.2712,85.44,62,100,5.06,overcast clouds
119,Constantine,DZ,2022-10-25 23:12:44,36.365,6.6147,58.41,35,0,1.14,clear sky
120,Moroni,KM,2022-10-25 23:12:44,-11.7022,43.2551,74.3,79,1,6.62,clear sky
121,Kudahuvadhoo,MV,2022-10-25 23:12:45,2.6708,72.8944,80.87,80,55,10.98,broken clouds
122,Waltershausen,DE,2022-10-25 23:12:45,50.9,10.5667,52.75,86,54,4.32,broken clouds
123,Ixtapa,MX,2022-10-25 23:12:46,20.7,-105.2,85.23,79,40,10.36,scattered clouds
124,Hobyo,SO,2022-10-25 23:12:46,5.3505,48.5268,79.23,82,87,10.85,light rain
125,Pevek,RU,2022-10-25 23:11:32,69.7008,170.3133,0.32,92,15,5.12,few clouds
126,Haines Junction,CA,2022-10-25 23:10:26,60.7522,-137.5108,28.17,52,6,3.33,clear sky
127,Pundaguitan,PH,2022-10-25 23:12:47,6.3711,126.1689,83.05,74,100,9.55,overcast clouds
128,Manado,ID,2022-10-25 23:08:22,1.487,124.8455,79.57,94,20,2.3,few clouds
129,Hami,CN,2022-10-25 23:12:48,42.8,93.45,50.05,39,100,2.46,overcast clouds
130,Cidreira,BR,2022-10-25 23:10:25,-30.1811,-50.2056,66.13,81,0,20.38,clear sky
131,Tual,ID,2022-10-25 23:12:49,-5.6667,132.75,82.72,73,94,5.23,overcast clouds
132,San Jose Temascatio,MX,2022-10-25 23:12:50,20.6833,-101.2667,81.36,27,69,3.71,broken clouds
133,Limbang,MY,2022-10-25 23:12:50,4.75,115.0,75.31,95,100,1.95,overcast clouds
134,Kumluca,TR,2022-10-25 23:13:51,36.3703,30.2869,70.36,43,0,5.12,clear sky
135,Werda,BW,2022-10-25 23:13:51,-25.2667,23.2833,73.87,7,83,7.61,broken clouds
136,Abu Samrah,SY,2022-10-25 23:13:53,35.3029,37.1841,71.51,36,98,7.94,overcast clouds
137,Asau,RO,2022-10-25 23:13:53,46.4333,26.4,52.72,92,91,3.29,overcast clouds
138,Keti Bandar,PK,2022-10-25 23:13:54,24.1447,67.4497,79.32,75,0,11.21,clear sky
139,Qingdao,CN,2022-10-25 23:09:31,36.0986,120.3719,60.58,59,100,11.23,overcast clouds
140,Teguldet,RU,2022-10-25 23:13:55,57.3064,88.1667,29.19,72,6,8.21,clear sky
141,Ancud,CL,2022-10-25 23:13:55,-41.8697,-73.8203,52.29,94,88,17.29,light rain
142,Saint-Philippe,RE,2022-10-25 23:13:56,-21.3585,55.7679,69.39,79,38,13.71,scattered clouds
143,Alofi,NU,2022-10-25 23:13:57,-19.0595,-169.9187,78.69,53,75,12.66,broken clouds
144,Narbonne,FR,2022-10-25 23:13:57,43.0833,2.8333,66.16,75,71,2.77,broken clouds
145,Leua,SK,2022-10-25 23:13:58,48.2156,18.6071,55.49,84,2,1.03,clear sky
146,Kattivakkam,IN,2022-10-25 23:13:58,13.2167,80.3167,75.29,64,1,5.01,clear sky
147,Vestmannaeyjar,IS,2022-10-25 23:13:59,63.4427,-20.2734,45.25,84,100,31.25,overcast clouds
148,Iqaluit,CA,2022-10-25 23:13:59,63.7506,-68.5145,24.53,85,100,26.46,light snow
149,Yellowknife,CA,2022-10-25 23:14:00,62.456,-114.3525,23.56,85,90,11.01,overcast clouds
150,Dingle,PH,2022-10-25 23:14:00,10.9995,122.6711,78.01,91,100,5.17,overcast clouds
151,Irbeyskoye,RU,2022-10-25 23:14:01,55.6428,95.4522,28.69,56,8,3.06,clear sky
152,Dunedin,NZ,2022-10-25 23:12:59,-45.8742,170.5036,58.8,63,100,3.2,overcast clouds
