City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Hamilton,US,2022-10-23 03:05:47,39.1834,-84.5333,65.88,69,75,6.91
100,Regeneracao,BR,2022-10-23 03:05:48,-6.2378,-42.6883,79.79,54,90,4.56
101,Ilulissat,GL,2022-10-23 03:00:48,69.2167,-51.1,39.22,52,100,18.41
102,Port Lincoln,AU,2022-10-23 03:05:49,-34.7333,135.8667,60.55,81,99,21.5
103,Victoria,HK,2022-10-23 03:03:47,22.2855,114.1577,87.19,58,96,7.38
104,Provideniya,RU,2022-10-23 03:04:24,64.3833,-173.3,30.79,92,90,8.34
105,Tuatapere,NZ,2022-10-23 03:05:50,-46.1333,167.6833,63.28,50,100,7.0
106,Evanston,US,2022-10-23 03:05:50,42.0411,-87.6901,70.16,61,0,18.41
107,Iqaluit,CA,2022-10-23 03:05:51,63.7506,-68.5145,33.53,80,75,3.44
108,Atuona,PF,2022-10-23 03:05:51,-9.8,-139.0333,77.04,69,4,16.08
109,Vaini,TO,2022-10-23 03:04:31,-21.2,-175.2,73.56,78,75,14.97
110,Flin Flon,CA,2022-10-23 03:05:52,54.7682,-101.865,30.63,70,14,3.91
111,Bastogne,BE,2022-10-23 03:05:52,50.0035,5.7184,53.91,96,100,6.85
112,Tazovskiy,RU,2022-10-23 03:05:53,67.4667,78.7,27.99,96,97,10.2
113,Geraldton,AU,2022-10-23 03:02:37,-28.7667,114.6,71.55,62,59,14.23
114,Yarkovo,RU,2022-10-23 03:05:54,57.4028,67.0786,28.18,81,37,10.42
115,Sungaipenuh,ID,2022-10-23 03:05:54,-2.0833,101.3833,78.84,59,98,2.21
116,Saint-Philippe,RE,2022-10-23 03:05:54,-21.3585,55.7679,71.19,85,95,10.16
117,Norman Wells,CA,2022-10-23 03:05:55,65.282,-126.8329,18.39,97,49,3.04
118,Tigil,RU,2022-10-23 03:05:55,57.8,158.6667,31.21,71,37,4.99
119,Port Elizabeth,ZA,2022-10-23 03:05:56,-33.918,25.5701,61.32,95,1,4.0
120,Dengzhou,CN,2022-10-23 03:05:56,37.8086,120.7508,60.69,53,0,12.97
121,Russell,US,2022-10-23 03:05:57,32.3502,-85.1999,55.0,100,0,0.0
122,Bagdarin,RU,2022-10-23 03:05:58,54.4333,113.6,30.79,52,0,1.99
123,Lebu,CL,2022-10-23 03:02:54,-37.6167,-73.65,47.35,87,100,5.57
124,Tiksi,RU,2022-10-23 03:05:58,71.6872,128.8694,19.11,92,100,5.57
125,Khuzhir,RU,2022-10-23 03:05:59,53.1939,107.3397,40.15,72,56,8.3
126,Tiznit,MA,2022-10-23 03:05:59,29.5833,-9.5,72.54,18,77,9.91
127,Nioro,GM,2022-10-23 03:05:59,13.35,-15.75,74.08,90,0,2.19
128,Manica,FR,2022-10-23 03:06:00,49.0,-1.1667,57.06,95,100,6.76
129,Thompson,CA,2022-10-23 03:06:00,55.7435,-97.8558,29.05,85,85,3.94
130,Ajdabiya,LY,2022-10-23 03:06:01,30.7554,20.2263,62.17,75,0,7.83
131,Muros,ES,2022-10-23 03:06:01,42.7762,-9.0603,57.16,91,100,26.51
132,Bengkulu,ID,2022-10-23 03:06:02,-3.8004,102.2655,83.23,65,100,3.47
133,Kemijarvi,FI,2022-10-23 03:06:02,66.7131,27.4306,33.44,59,0,14.36
134,Northam,GB,2022-10-23 03:07:03,51.0333,-4.2167,59.61,96,100,16.87
135,Rorvik,NO,2022-10-23 03:07:03,64.8621,11.2373,39.31,87,75,6.91
136,Muli,MV,2022-10-23 03:07:04,2.9167,73.5667,81.55,73,96,16.02
137,Saint Anthony,US,2022-10-23 03:07:04,45.0205,-93.218,68.25,51,0,9.22
138,Bethel,US,2022-10-23 03:07:05,41.3712,-73.414,52.93,85,0,0.0
139,Antalaha,MG,2022-10-23 03:07:06,-14.9003,50.2788,71.74,87,99,3.65
140,Luderitz,NA,2022-10-23 03:07:06,-26.6481,15.1594,57.63,85,26,15.05
141,Islamkot,PK,2022-10-23 03:07:06,24.6997,70.177,82.87,33,0,2.59
142,Arraial Do Cabo,BR,2022-10-23 03:07:07,-22.9661,-42.0278,71.64,89,92,13.56
143,Dindori,IN,2022-10-23 03:07:07,22.95,81.0833,69.33,69,5,6.02
144,Georgetown,MY,2022-10-23 03:07:08,5.4112,100.3354,82.89,81,40,5.75
145,Khuzdar,PK,2022-10-23 03:07:08,27.7384,66.6434,67.62,31,0,3.91
146,Sinnamary,GF,2022-10-23 03:07:09,5.3833,-52.95,79.48,89,83,11.25
147,Ketchikan,US,2022-10-23 03:07:10,55.3422,-131.6461,39.67,87,40,3.44
148,Hovd,MN,2022-10-23 03:06:19,48.0056,91.6419,49.3,24,8,4.34
149,Moorhead,US,2022-10-23 03:07:10,46.8739,-96.7676,53.62,63,0,6.91
150,Palana,RU,2022-10-23 03:07:11,59.1167,159.9667,26.78,76,93,3.87
151,Show Low,US,2022-10-23 03:05:54,34.2542,-110.0298,58.08,79,0,20.71
152,Karratha,AU,2022-10-23 03:07:11,-20.7377,116.8463,86.99,31,3,15.61
153,Pevek,RU,2022-10-23 03:07:12,69.7008,170.3133,18.86,95,100,8.7
154,Hagere Selam,ET,2022-10-23 03:07:12,6.4833,38.5167,45.25,97,92,3.65
155,Sulangan,PH,2022-10-23 03:07:13,11.1373,123.7228,83.97,73,58,5.77
156,Douglas,US,2022-10-23 03:06:06,41.3,-96.167,68.61,60,0,4.61
157,Dubai,AE,2022-10-23 03:03:02,25.2582,55.3047,78.73,57,0,10.36
158,Tchaourou,BJ,2022-10-23 03:07:14,8.8865,2.5975,73.17,75,74,1.39
159,Sisimiut,GL,2022-10-23 03:07:14,66.9395,-53.6735,34.95,79,100,9.78
160,Srivardhan,IN,2022-10-23 03:07:15,18.0333,73.0167,77.25,68,2,6.11
161,Grenaa,DK,2022-10-23 03:07:15,56.4158,10.8783,52.02,97,22,11.01
162,Avarua,CK,2022-10-23 03:07:16,-21.2078,-159.775,78.85,89,20,6.91
163,Qaqortoq,GL,2022-10-23 03:07:16,60.7167,-46.0333,36.05,89,100,10.27
164,Ancud,CL,2022-10-23 03:05:45,-41.8697,-73.8203,43.79,78,100,7.43
165,Ankpa,NG,2022-10-23 03:07:17,7.3706,7.6253,72.84,85,96,3.29
166,Acapulco,MX,2022-10-23 03:07:17,16.8634,-99.8901,80.42,78,75,9.22
167,Chicama,PE,2022-10-23 03:07:18,-7.8447,-79.1469,59.54,82,85,6.42
168,Damghan,IR,2022-10-23 03:07:18,36.1683,54.348,57.13,73,21,0.43
169,Pisco,PE,2022-10-23 03:07:19,-13.7,-76.2167,59.02,88,0,3.44
170,College,US,2022-10-23 03:07:19,64.8569,-147.8028,32.07,96,100,0.0
171,Katsuura,JP,2022-10-23 03:07:20,35.1333,140.3,73.67,61,10,12.53
172,Saskylakh,RU,2022-10-23 03:07:20,71.9167,114.0833,13.69,96,88,7.78
173,Coquimbo,CL,2022-10-23 03:07:20,-29.9533,-71.3436,55.13,87,100,1.14
174,Nagua,DO,2022-10-23 03:07:21,19.3832,-69.8474,77.68,85,13,5.12
175,Bensonville,LR,2022-10-23 03:07:22,6.4461,-10.6125,73.81,95,98,0.94
176,Grindavik,IS,2022-10-23 03:07:23,63.8424,-22.4338,43.27,100,100,17.27
177,Hasaki,JP,2022-10-23 03:04:32,35.7333,140.8333,77.29,55,57,4.09
178,Airai,TL,2022-10-23 03:07:23,-8.9266,125.4092,79.65,43,60,2.17
179,Duncan,US,2022-10-23 03:07:24,34.5023,-97.9578,78.69,47,0,13.8
180,Jiazi,CN,2022-10-23 03:07:24,22.8779,116.067,75.31,80,96,17.2
181,Sao Jose Da Coroa Grande,BR,2022-10-23 03:08:25,-8.8978,-35.1478,75.56,86,26,8.95
182,North Bend,US,2022-10-23 03:08:25,43.4065,-124.2243,49.86,100,100,5.75
183,Nsanje,MW,2022-10-23 03:08:26,-16.92,35.262,72.27,85,0,3.56
